rank,name,points,players
#47,TNL,15,"['nifee', 'Flierax', 'onic', 'Dawy', 'cairne']"
#48,BLUEJAYS,15,"['freshie', 'Fruitcupx', 'SLIGHT', 'dare', 'snav']"
#49,The Huns,15,"['nin9', 'yAmi', 'Bart4k', 'xerolte', 'cobra']"
#50,BC.Game,14,"['nexa', 'nawwk', 'CYPHER', 'pr1metapz']"
#51,Sharks,14,"['gafolo', 'koala', 'rdnzao', 'doc', 'n1cks']"
#52,Astrum,14,"['clax', 'KENSI', 'Patsi', 'Norwi', 'gr1ks']"
#53,Getting Info,14,"['MarKE', 'FaNg', 'nosraC', 'shane', 'dea']"
#54,BESTIA,14,"['Noktse', 'cass1n', 'luchov', 'tomaszin', 'timo']"
#55,9INE,13,"['raalz', 'mantuu', 'faveN', 'kraghen', 'bobeksde']"
#56,500,13,"['SPELLAN', 'CeRq', 'Rainwaker', 'oxygeN']"
#57,Nouns,13,"['RUSH', 'junior', 'Cryptic', 'CLASIA', 'Peeping']"
#58,Partizan,12,"['emi', 'c0llins', 'Kind0', 'Dragon', 'VLDN']"
#59,Spirit Academy,12,"['robo', 'syph0', 'alkarenn', 'Mokuj1n', 'kyousuke']"
#60,ODDIK,11,"['WOOD7', 'pancc', 'naitte', 'matios', 'ksloks']"
#61,Fisher College,11,"['TH0R', 'AlekS', 'ReFuZR', 'CrePoW', 'corn']"
#62,HOTU,11,"['kade0', 'dukefissura', 'mizu', 'lampada', 'youka']"
#63,GUN5,11,"['Lack1', 'SELLTER', 'xiELO', 'Sdaim', 'fineshine52']"
#64,Zero Tenacity,10,"['aVN', 'nEMANHA', 'Cjoffo', 'brutmonster', 'simke']"
#65,LFO 4,10,"['MERL', 'MagiC', 'TABEN', 'NIGHT666LADE', 'Evan']"
#66,Sashi,10,"['Lucky', 'Cabbi', 'IceBerg', 'Zyphon', 'Beccie']"
#67,Solid,10,"['destiny', 'drg', 'nython', 'gbb', 'tomate']"
#68,Marsborne,9,"['WolfY', 'motm', 'Minus', 'chop', 'Grizz']"
#69,Nexus,9,"['BTN', 'XELLOW', 'ragga', 's0und', 'lauNX']"
#70,SemperFi,9,"['aliStair', 'keen', 'Valiance', 'shadiy', 'SaVage']"
#71,RUSH B,9,"['kinqie', 'KIRO', 'z1Nny', 'executor', 'tex1y']"
#72,9z,9,"['max', 'Luken', 'adamS', 'MartinezSa', 'HUASOPEEK']"
#73,Iberian Soul,9,"['alex', 'mopoz', 'stadodo', 'sausol', 'dav1g']"
#74,Leo,9,"['kr1vda', 'Malkiss', 'marat2k', 'kL1o', 'OneUn1que']"
#75,JiJieHao,8,"['ISSAA', 'm1N1', 'Bibu', 'BOROS', '0SAMAS']"
#76,Monte,8,"['hAdji', 'afro', 'leen', 'ryu', 'Gizmy']"
#77,Mythic,8,"['fl0m', 'Cooper', 'hyza', 'Austin', 'Trucklover86']"
#78,CYBERSHOKE,8,"['glowiing', 'lov1kus', 'notineki', 'bl1x1', 'FenomeN']"
#79,AMKAL,8,"['sstiNiX', 'kAlash', 'sFade8', 'AW', 'tommy']"
#80,Eruption,8,"['sk0R', 'MagnumZ', 'fury5k', 'sideffect', 'xenization']"
#81,Passion UA,8,"['Woro2k', 'Topa', 'DemQQ', 'Kvem', 'jackasmo']"
#82,Vagrants,8,"['brett', 'consti', 'Seb', 'Sandman', 'mason']"
#83,Swingers,7,"['ponter', 'desh', 'ninjaZ', 'vinaabEAST']"
#84,WildLotus,7,"['CRUC1AL', 'b0RUP', 'birdfromsky', 'Keoz', 'Vegi']"
#85,NomadS,7,"['clouden', 'HenX', 'Paranormal', 'hoolig4n', 'Randyyyy']"
#86,RED Canids,7,"['coldzera', 'drop', 'venomzera']"
#87,SUPER EVIL GANG,7,"['arias', 'Talen', 'misha', 'flow', 'clipzera']"
#88,Party Astronauts,7,"['ben1337', 'd4rty', 'sacrifice', 'ogwizard', 'xsany']"
#89,Tricked,6,"['Nodios', 'valde', 'Queenix', 'salazar', 'leakz']"
#90,NOVAQ,6,"['neaLaN', 'def1zer', 'Pumpkin66', 'tasman', 'forkyz']"
#91,Johnny Speeds,6,"['draken', 'Sapec', 'SHiNE', 'Svedjehed', 'MaiL09']"
#92,ex-TALON,6,"['BRACE', 'sterling', 'hazr', 'ADDICT', 'Forleks']"
#93,FengDa,6,"['1337x9', 'chengking', 'p5p', '3gl', 'jung1e']"
#94,RUBY,6,"['fozil', 'H4SAN4TOR', 'sowalio', 'Kaide']"
#95,Fire Flux,6,"['ScrunK', 'paz', 'Banjo', 'soulfly', 'duggy']"
#96,Bad News Capybaras,6,"['jchancE', 'Grave', 'Gabe', 'cbass', 'mds']"
#97,Betera,6,"['Vert', 'h1te', 'MaSvAl', 'synyx', 'tENZY']"
#98,GameHunters,6,"['prt', 'abr', 'RICIOLI', 'mello', 'Lich']"
#99,Insilio,6,"['sugaR', 'faydett', 'dwushka', 'mag1k3Y', 'kelieN']"
#100,Rooster,6,"['chelleos', 'DannyG', 'asap', 'TjP', 'sliimey']"
#101,Change The Game,6,"['Hack1ng', '957', 'yancher', 'Zero', 'LaiKeXu']"
#102,DogEvil,6,"['lan', 'B1NGO', 'Roninbaby', 'Tiger']"
#103,Just Swing,5,"['Marek', 'gas', 'Purely', 'qqGOD', 'VanceKK']"
#104,THE,5,"['Tugu', 'Sange', 'krc', 'DayMake', 'kaito']"
#105,Chicken Coop,5,"['FRIZZY', 'LittleBEER', 'BiNoX', 'taggy', 'BAGEL']"
#106,kONO,5,"['cptkurtka023', 's4ltovsk1yy', 'amster', 'OWNER', 'zogeN']"
